employer,emp_count,median_salary,mean_salary,total_payroll
Association Franco-Ontarienne Des Conseils Scolaires Catholiques (o/a AFOCSC),2,177049.06,177049.06,354098.12
Association Of Family Health Teams Of Ontario (AFHTO),2,115980.725,115980.725,231961.45
Association Of Native Child and Family Services Agencies Of Ontario,4,112965.0,114762.6925,459050.77
Association Of Ontario Midwives,16,146106.505,146948.468125,2351175.49
Association Of Ontario Road Supervisors,2,149600.575,149600.575,299201.15
Association Pour L’integration Sociale D’Ottawa,3,103543.0,108694.33333333333,326083.0
Athletics Ontario,1,143000.0,143000.0,143000.0
Atikokan Health and Community Services,23,118026.33,125584.69869565217,2888448.07
Atlohsa Family Healing Services Inc.,6,111266.35,123364.25166666666,740185.51
Attorney General,2692,162299.97,172340.02218796435,463939339.73
Atura,157,180186.78,180407.8752866242,28324036.42
Aundeck-omni-kaning First Nation,1,118512.81,118512.81,118512.81
Ausable Bayfield Conservation Authority,4,113590.615,115134.4075,460537.63
Autism At Communicare Therapy Inc O/A Act Learning Centre,4,102868.25,117751.625,471006.5
Autism Behavioural Services Inc,1,135200.0,135200.0,135200.0
Autism Ontario,16,105608.82,126997.799375,2031964.79
Automotive Industries Association Of Canada,4,146600.215,168608.065,674432.26
Avenue Ii Community Program Services Thunder Bay Inc,1,150947.71,150947.71,150947.71
Avon Maitland District School Board,870,129064.375,127966.948,111331244.76
Balance,1,126499.0,126499.0,126499.0
Banyan Community Services Inc,5,125347.66,131159.894,655799.47
Barbra Schlifer Commemorative Clinic (BSCC),2,136552.45,136552.45,273104.9
Barrie Area Native Advisory Circle,8,126043.775,123683.35,989466.8
Barrie Community Health Centre,11,157955.52,166406.85636363635,1830475.42
Baycrest Corporate Centre For Geriatric Care,97,141967.2,162849.89773195877,15796440.08
Baycrest Hospital,248,117087.3,127836.34834677419,31703414.39
Beausoleil First Nation,13,104228.28,108797.7123076923,1414370.26
Belleville And Quinte West Community Health Centre,13,137436.09,160694.5653846154,2089029.35
Bellwoods Centres For Community Living Inc,6,109927.27,122159.90333333334,732959.42
Belmont House,15,122851.63,136214.466,2043216.99
Benya Inc,3,125615.32,124712.73,374138.19
Bernadette McCann House For Women Inc,1,136500.65,136500.65,136500.65
Bernard Betel Centre For Creative Living,4,130187.0,134350.5,537402.0
Beth Tikvah Foundation Of Hamilton,1,112249.88,112249.88,112249.88
Bethany Lodge,10,114239.195,123204.571,1232045.71
Bethell Hospice,2,127767.865,127767.865,255535.73
Bethesda Community Services Inc,8,113835.88,121348.91875,970791.35
Better Living At Thompson House,10,108779.5,113225.86200000001,1132258.62
Better Living Health And Community Services,9,126299.49,135237.23444444442,1217135.1099999999
Big Brothers Big Sisters Of Canada,4,154984.35499999998,170537.5075,682150.03
Biidaaban Healing Lodge Inc,1,101426.08,101426.08,101426.08
Biinjitiwaabik Zaaging Anishinaabek First Nation,4,116214.67000000001,114184.96,456739.84
Bingwi Neyaashi Anishinaabek,1,141097.11,141097.11,141097.11
Black Creek Community Health Centre,20,128182.505,160094.2605,3201885.21
Blanche River Health,71,118810.18,128329.73450704226,9111411.15
Bloorview School Authority,4,120014.78,123673.505,494694.02
Blue Door Support Services,8,124900.975,131404.12125,1051232.97
Blue Water Rest Home,4,115755.5,113916.5,455666.0
Bluewater District School Board,958,128758.04000000001,126438.59919624217,121128178.03
Bluewater Health,410,117990.41,123271.37646341464,50541264.35
Board Of Health For The District Of Algoma Health Unit,17,118671.55,132936.57470588235,2259921.77
Board Of Health For The Northwestern Health Unit,19,123016.19,138919.82052631577,2639476.59
Board Of Health For The Porcupine Health Unit,19,101698.08,125493.34105263157,2384373.48
Board Of Health For Timiskaming Health Unit,5,119497.06,123020.63,615103.15
Board Of Management For The District Of Parry Sound West Home For The Aged,5,125371.64,141470.76400000002,707353.8200000001
Board Of Management For The Home For The Aged West Nipissing,13,143006.06,144115.43,1873500.5899999999
Board of Health for the Huron Perth Health Unit,29,113988.35,125991.10862068966,3653742.15
Boost Child and Youth Advocacy Centre,4,118349.5,124037.0,496148.0
Boundless Accelerator,1,171925.39,171925.39,171925.39
Boxing Ontario Inc,1,101538.0,101538.0,101538.0
Boys and Girls Club Of Ottawa,5,128237.06,128901.63999999998,644508.2
Boys and Girls Clubs Of Kawartha Lakes,1,103406.68,103406.68,103406.68
Brain Injury Association Of Durham Region,1,111613.71,111613.71,111613.71
Brain Injury Community Re-entry (Niagara) Inc,2,132932.58,132932.58,265865.16
Brain Injury Services Of Northern Ontario,3,110672.0,117034.0,351102.0
Brain Injury Services Of Simcoe County,1,117260.15,117260.15,117260.15
Brampton Board Of Trade,1,139050.0,139050.0,139050.0
Brampton-Caledon Community Living,12,105047.12,108631.50333333334,1303578.04
Branch 133 Legion Village Inc,1,115575.0,115575.0,115575.0
Brant Community Healthcare System,400,115722.155,124648.805225,49859522.09
Brant County Health Unit,20,125309.39499999999,141691.506,2833830.12
Brant Haldimand Norfolk Catholic District School Board,625,133132.32,130101.84928,81313655.8
Brantwood Residential Development Centre,3,109298.18,114255.00666666667,342765.02
Breakaway Community Services,1,129784.2,129784.2,129784.2
Brescia University College,1,120538.5,120538.5,120538.5
Bridgenorth Women’S Mentorship & Advocacy Services,1,108878.54,108878.54,108878.54
Bridges Community Health Centre,8,159842.0,170463.75,1363710.0
Brightshores Health System,404,113816.9,119446.45475247524,48256367.72
Britannia Woods Community House,1,108483.37,108483.37,108483.37
Broadview Foundation,10,113664.70999999999,130642.91699999999,1306429.17
Brock Community Health Centre,4,216708.67,213520.20500000002,854080.8200000001
Brock University,706,171124.26,170945.3414164306,120687411.04
Brockville General Hospital,201,115899.43,124264.22587064675,24977109.4
Brockville and District Assoc For Community Involvement/Special Needs,1,122420.0,122420.0,122420.0
Bruce Grey Child And Family Services,31,125410.33,127924.85838709677,3965670.61
Bruce-Grey Catholic District School Board,270,132140.93,129757.04074074075,35034401.0
Bruyère Continuing Care,441,116219.02,127625.21047619048,56282717.82
Building Up,4,127692.15,123999.86499999999,495999.45999999996
Bulimia Anorexia Nervosa Association (o/a BANA),2,128119.51499999998,128119.51499999998,256239.02999999997
CARLINGTON COMMUNITY HEALTH CENTRE,10,182002.995,179277.342,1792773.42
CLH Developmental Support Services,5,107020.22,111897.456,559487.28
CMHA Huron Perth Addiction and Mental Health Services,3,117819.62,124216.56333333334,372649.69
COPA National,1,116475.0,116475.0,116475.0
CSC Du Temiskaming,6,151013.06,172136.46166666667,1032818.77
CTI Canadian Training Institute,2,122139.0,122139.0,244278.0
Cabinet Office,246,120042.98499999999,133955.40398373984,32953029.38
Caledon Community Services,5,116633.17,127406.11600000001,637030.5800000001
Caledon Meals On Wheels,1,111000.0,111000.0,111000.0
Caledon-Dufferin Victim Services,1,103790.25,103790.25,103790.25
Cambrian College Of Applied Arts and Technology,224,121994.35,126132.9659375,28253784.37
Cambridge Memorial Hospital,315,116058.38,128353.86434920636,40431467.27
Camino Wellbeing + Mental Health,8,123953.08499999999,130638.18125,1045105.45
Campbellford Memorial Hospital,47,113805.8,123487.32021276596,5803904.05
Can-Am Indian Friendship Centre Of Windsor Inc,1,101103.15,101103.15,101103.15
Canada’s Walk Of Fame,3,138570.0,194037.64,582112.92
Canadian AIDS Treatment Information Exchange,6,110312.5,119773.71333333333,718642.28
Canadian Alliance To End Homelessness,6,132241.67,155661.92500000002,933971.55
Canadian Blood Agency,1,138292.0,138292.0,138292.0
Canadian Centre For Refugee And Immigrant Health Care,2,111500.0,111500.0,223000.0
Canadian Cyber Threat Exchange (CCTX),5,145639.19,154901.38799999998,774506.94
Canadian Education Association,2,107988.51,107988.51,215977.02
Canadian Film Centre,4,132500.03,168187.5275,672750.11
Canadian Hearing Services/Services canadiens de L’ouïe,27,109839.04,135174.14962962962,3649702.04
Canadian Helen Keller Centre (CHKC),1,142963.36,142963.36,142963.36
Canadian Institute For Health Info,359,115894.74,123332.90206128135,44276511.84
Canadian Institute for Advancements in Mental Health,2,135501.47,135501.47,271002.94
Canadian Mental Health Association (Thunder Bay),4,109849.45999999999,112329.83,449319.32
Canadian Mental Health Association - Champlain East,1,125696.9,125696.9,125696.9
Canadian Mental Health Association - Cochrane Timiskaming Branch,11,120600.24,130863.88727272727,1439502.76
Canadian Mental Health Association - Durham,8,133356.0,141974.125,1135793.0
Canadian Mental Health Association - Halton Branch,4,127877.38,137033.3975,548133.59
Canadian Mental Health Association - Muskoka-Parry Sound Branch,8,121477.63500000001,127678.4125,1021427.3
Canadian Mental Health Association - Niagara Branch,4,109808.59,113814.1225,455256.49
Canadian Mental Health Association - North Bay and District,7,118687.8,123102.0,861714.0
Canadian Mental Health Association - Ontario Division,15,129996.96,137269.934,2059049.01
Canadian Mental Health Association - Peel Branch,10,105118.61,125274.727,1252747.27
Canadian Mental Health Association - Sudbury/Manitoulin,6,116408.9,123334.70333333332,740008.22
Canadian Mental Health Association - Windsor-Essex County Branch,13,126974.24,139876.58000000002,1818395.54
Canadian Mental Health Association Algoma,2,138083.97,138083.97,276167.94
Canadian Mental Health Association Brant-Haldimand-Norfolk Branch,1,102373.27,102373.27,102373.27
Canadian Mental Health Association Grey Bruce,3,103933.14,104041.06,312123.18
Canadian Mental Health Association Haliburton Kawartha Pine Ridge Branch,3,114635.18,127359.92666666668,382079.78
Canadian Mental Health Association Kenora Branch,2,148373.0,148373.0,296746.0
Canadian Mental Health Association Lambton Kent Branch,11,120628.98,123896.25272727273,1362858.78
Canadian Mental Health Association Ottawa-Carleton Branch,15,116389.13,122164.43999999999,1832466.5999999999
Canadian Mental Health Association Toronto Branch,15,126669.6,137557.47266666667,2063362.09
Canadian Mental Health Association Waterloo Wellington Branch,18,128543.87,136893.48444444445,2464082.72
"Canadian Mental Health Association, Thames Valley Addiction & Mental Health Services",16,109598.5,120006.0625,1920097.0
"Canadian Mental Health Association, York Region Branch",25,131622.89,142782.6824,3569567.06
Canadian Mental Health Association- Fort Frances Branch,3,122502.57,127440.28333333333,382320.85
Canadian Mental Health Association-Simcoe County Branch,7,136888.66,138468.70714285714,969280.95
Canadian Parents For French Ontario,1,126938.0,126938.0,126938.0
Canadian Red Cross Society,106,122494.91500000001,136117.92660377358,14428500.22
Canadian Sport Institute Ontario,5,134501.13,146788.55,733942.75
Canadian Ukrainian Immigrant Aid Society,2,119090.625,119090.625,238181.25
Canadian Women & Sport,4,131477.0,135751.0125,543004.05
Canadore College Of Applied Arts and Technology,145,126689.04,126902.90337931033,18400920.99
Canes Community Care,12,134810.085,137828.50666666668,1653942.08
Canopy Support Services,5,102296.5,112361.55600000001,561807.78
Care Centre For Internationally Educated Nurses,1,130615.0,130615.0,130615.0
Career Services Of Brockville,1,116338.04,116338.04,116338.04
Carefirst Seniors And Community Services Association,6,112144.46,125663.50833333335,753981.05
Carefor Health And Community Services,18,122953.765,138010.98444444445,2484197.72
Caribbean African Canadian (CAFCAN) Social Services,3,102101.0,112174.0,336522.0
Caritas School Of Life,1,111342.96,111342.96,111342.96
Carleton Place And District Memorial Hospital,19,118922.56,120370.10105263158,2287031.92
Carleton University,1561,148849.9,155391.6969314542,242566438.91
Carpenters District Council Of Ontario,2,119272.95,119272.95,238545.9
Carpenters Local 93 Training Centre Association,2,118971.105,118971.105,237942.21
Casey House,23,112252.3,119246.46652173913,2742668.73
Catholic Children’s Aid Society,220,106719.545,116677.26104545455,25668997.43
Catholic Children’s Aid Society Of Hamilton,18,114957.70499999999,126001.99055555556,2268035.83
Catholic Community Services Of York Region,1,149600.1,149600.1,149600.1
Catholic Cross Cultural Services,7,122002.73,121215.03857142858,848505.27
Catholic District School Board Of Eastern Ontario,798,132826.74,131264.42823308273,104749013.73
Catholic Family Services Of Durham,1,122000.0,122000.0,122000.0
Catholic Family Services Of Peel-Dufferin,4,108186.13,118998.09,475992.36
Catholic Family Services Of Simcoe County,1,122415.38,122415.38,122415.38
Catholic Family Services Of Toronto,2,127482.5,127482.5,254965.0
Catulpa Community Support Services Inc,2,118574.325,118574.325,237148.65
Causeway Work Centre,1,121000.0,121000.0,121000.0
Cedar Centre,2,128312.31,128312.31,256624.62
Centennial College Of Applied Arts and Technology,735,124565.01,127138.90295238096,93447093.67
Centennial Infant And Child Centre (for Children With Special Needs),1,159319.0,159319.0,159319.0
Central Canadian District Christian and Missionary Alliance - Cama Woodlands,8,130983.0,130730.125,1045841.0
Central Community Health Centre,9,155827.0,177158.86777777778,1594429.81
Central Toronto Youth Services,2,165948.295,165948.295,331896.59
Central West Specialized Developmental Services,11,105667.61,119443.36545454546,1313877.02
Centre De Reeducation Cor Jesu De Timmins Inc,2,115595.0,115595.0,231190.0
Centre De Sante Communautaire Chigamik CHC Inc,8,128059.545,152702.24,1221617.92
Centre De Sante Communautaire De L’estrie Ontario,21,126759.63,165296.44714285716,3471225.39
Centre De Sante Communautaire De Timmins,3,128032.08,128773.09666666666,386319.29
Centre De Sante Communautaire Du Grand Sudbury,5,115587.3,124935.73999999999,624678.7
Centre De Sante Communautaire Hamilton-Wentworth-Niagara Inc,18,130186.735,158958.82166666666,2861258.79
Centre De Santé Communautaire De Kapuskasing Et Région,5,128196.99,125119.56399999998,625597.82
Centre De Services A L’emploi De Prescott-Russell Inc,2,122329.81,122329.81,244659.62
Centre D’accueil Roger Seguin,16,112896.0,116710.875,1867374.0
Centre For Addiction And Mental Health,1142,113573.42,122581.4204290718,139987982.13
Centre For Effective Practice,9,129465.0,141564.33333333334,1274079.0
Centre For Equitable Library Access,1,120752.81,120752.81,120752.81
Centre For Family Medicine Family Health Team,6,109215.845,115540.89,693245.34
Centre For Independent Living In Toronto (CILT) Inc,2,124804.26000000001,124804.26000000001,249608.52000000002
Centre For Research And Innovation In The Bio-Economy,1,180775.0,180775.0,180775.0
Centre For Spanish Speaking Peoples,1,130799.81,130799.81,130799.81
Centre For Surgical Invention And Innovation,3,152055.92,158931.12,476793.36
Centre Franco-Ontarien De Ressources Pedagogiques,24,117261.19,123394.50124999999,2961468.03
Centre Francophone De Toronto,14,113326.93,143547.08357142858,2009659.17
Centre Francophone D’aide Et De Lutte Contre Les Agressions A Caractere Sexuel D’ottawa,2,108568.3,108568.3,217136.6
Centre de Leadership et d’Évaluation Inc,9,102286.0,120991.55555555556,1088924.0
Centre de santé UNIVI Health Centre,11,132044.91,140017.78181818183,1540195.6
Centretown Community Health Centre,16,142275.61,149730.081875,2395681.31
Cerebral Palsy Parent Council Of Toronto,1,120749.83,120749.83,120749.83
Charity House (Windsor),1,133087.5,133087.5,133087.5
Charles H Best Diabetes Centre,5,128291.27,139242.54400000002,696212.7200000001
Chatham-Kent Community Health Centres,16,128865.16,159533.515625,2552536.25
Chatham-Kent Health Alliance,360,115464.22,120592.88091666668,43413437.13
Cheshire Homes Of London Inc,6,107561.755,113533.35833333334,681200.15
Cheshire Supports To Independent Living Inc.,3,115249.05,114376.73333333334,343130.2
Child Development Institute,12,130373.945,135473.02583333335,1625676.31
Child Development Resource Connection Peel,1,147245.22,147245.22,147245.22
Child Witness Centre Of Waterloo Region,1,124377.3,124377.3,124377.3
Child and Community Resources,3,141061.36,148764.3533333333,446293.05999999994
Child and Family Services of Grand Erie,52,118138.54000000001,123180.43788461537,6405382.77
Children First In Essex County,2,154794.14,154794.14,309588.28
Children and Family Services For York Region,66,121595.335,123645.25515151514,8160586.84
"Children, Community and Social Services",2003,116607.22,121014.83570144782,242392715.91
Children’s Aid Society Of Algoma,14,113739.97,120915.9892857143,1692823.85
Children’s Aid Society Of London And Middlesex,42,119052.0,127174.79285714285,5341341.3
Children’s Aid Society Of Ottawa/La Societe De L’Aide A L’Enfance D’ Ottawa,82,125562.11499999999,128239.77719512196,10515661.73
Children’s Aid Society Of Oxford County,16,116865.9,121723.5675,1947577.08
Children’s Aid Society Of The City Of Guelph and The County Of Wellington,18,118424.16500000001,122779.59277777777,2210032.67
Children’s Aid Society Of The District Of Nipissing And Parry Sound,27,118414.15,123499.17185185186,3334477.64
Children’s Aid Society Of The District Of Sudbury-Manitoulin,43,113404.39,116221.80325581395,4997537.54
Children’s Aid Society Of The Niagara Region,49,119759.14,124335.81714285714,6092455.04
Children’s Aid Society Of The Region Of Peel,95,119177.48,122859.34684210525,11671637.95
Children’s Aid Society Of The Regional Municipality Of Halton,25,118732.14,121207.5352,3030188.38
Children’s Aid Society Of The Regional Municipality Of Waterloo,41,106484.51,114885.8731707317,4710320.8
Children’s Aid Society Of The United Counties Of Stormont Dundas and Glengarry,21,123576.48,131353.99476190476,2758433.89
Children’s Aid Society Of Toronto,342,108949.14,117558.25026315791,40204921.59
Children’s Aid Society of the District of Thunder Bay,18,117974.95499999999,120580.05277777779,2170440.95
Children’s Centre Thunder Bay,13,115725.17,127017.4276923077,1651226.56
Children’s Community Network,1,119237.34,119237.34,119237.34
Children’s Hospital Of Eastern Ontario - Ottawa Children’s Treatment Centre,1053,115175.05,122231.55994301995,128709832.62
Children’s Mental Health Of Leeds And Grenville,5,118607.9,120600.094,603000.47
Children’s Mental Health Ontario,5,133923.92,148102.52000000002,740512.6000000001
Children’s Mental Health Services (Serving Children And Families In Hastings And Prince Edward Counties),5,110485.39,118430.58200000001,592152.91
Children’s Treatment Centre Of Chatham Kent,1,144049.5,144049.5,144049.5
Children’s Treatment Network Of Simcoe York,24,116786.13500000001,127960.38208333333,3071049.17
Chimo Youth and Family Services Inc,2,119901.0,119901.0,239802.0
Chippewas Of Kettle and Stony Point First Nation,4,108736.04500000001,122489.2425,489956.97
Chippewas Of Rama First Nation,11,127991.47,126068.42363636364,1386752.6600000001
Choices,3,104573.0,113377.0,340131.0
Christian Labour Association Of Canada (Clac) Education & Assistance Training Department,1,155891.0,155891.0,155891.0
Circle Of Home Care Services (Toronto),9,131658.46,138807.60666666666,1249268.46
Citizenship and Multiculturalism,83,121775.54,128217.75144578313,10642073.37
City Of Barrie,712,126123.6,130981.17026685394,93258593.23
City Of Belleville,215,129223.88,133641.7870232558,28732984.21
City Of Brampton,1426,117621.11,123490.70760869567,176097749.05
City Of Brantford,449,122719.17,128321.30928730512,57616267.87
City Of Brockville,80,130435.1,133926.30525,10714104.42
City Of Burlington,505,128248.56,133821.47944554457,67579847.12
City Of Cambridge,262,129707.54000000001,134635.91515267178,35274609.77
City Of Clarence-Rockland,32,122138.185,132194.3875,4230220.4
City Of Cornwall,153,116289.84,121415.28575163399,18576538.72
City Of Cornwall - Police Services,79,126428.17,132343.3541772152,10455124.98
City Of Dryden,11,113263.59,126226.23181818183,1388488.55
City Of Elliot Lake,17,128351.13,126898.82705882353,2157280.06
City Of Greater Sudbury,719,123416.0,129806.38648122392,93330791.88
City Of Guelph,569,117823.34,124518.59411247802,70851080.05
City Of Guelph - Guelph Police Service,215,124024.3,129673.31060465117,27879761.78
City Of Hamilton,2991,123412.8,129244.91458709461,386571539.53
City Of Kawartha Lakes,208,121795.16500000001,126608.52370192307,26334572.93
City Of Kenora,44,112514.41,120995.44090909092,5323799.4
City Of Kingston,318,123896.83,128830.64163522012,40968144.04
City Of Kingston - Police Services Board,192,122001.82500000001,128873.67458333333,24743745.52
City Of Kitchener,513,125715.51,130201.03785575049,66793132.42
City Of London,729,124765.35,129539.95368998627,94434626.24
City Of London - Covent Garden Market Corporation,1,124025.04,124025.04,124025.04
City Of London - London Convention Centre Corporation,5,118812.12,118636.45,593182.25
City Of London - London Transit Commission,45,109821.8,116079.71466666667,5223587.16
City Of London - Police Services,677,135641.5,141073.88098966028,95507017.43
City Of Markham,544,118355.84,126982.1743382353,69078302.84
City Of Mississauga,2099,120995.87,126112.75341114817,264710669.41
City Of Niagara Falls,224,121472.35,125297.098125,28066549.98
City Of North Bay - Police Services Board,99,131753.34,135407.667979798,13405359.13
City Of North Bay - Public Library Board,1,144241.6,144241.6,144241.6
City Of Orillia,87,122024.17,129810.37172413793,11293502.34
City Of Oshawa,369,122809.5,131221.33333333334,48420672.0
City Of Ottawa,4686,116554.58,122488.80686299616,573982548.96
City Of Ottawa - Library Services,29,130935.98,133532.88517241378,3872453.67
City Of Ottawa - Police Services,1598,135307.025,140709.4506758448,224853702.18
City Of Owen Sound,85,119373.89,123578.07870588235,10504136.69
City Of Pembroke,28,123360.685,127644.12928571428,3574035.62
City Of Peterborough,366,125696.24,132493.84704918033,48492748.02
City Of Pickering,208,124706.355,130880.61658653847,27223168.25
City Of Port Colborne,38,130580.79000000001,133376.92657894737,5068323.21
City Of Quinte West,60,123715.27,130588.91483333333,7835334.89
City Of Sarnia,303,130335.1,134847.89138613862,40858911.09
City Of Sault Ste. Marie,146,121983.73,128515.93993150686,18763327.23
City Of Sault Ste. Marie-Public Library Board,1,151341.41,151341.41,151341.41
City Of St Catharines,242,130804.75,133067.30954545454,32202288.91
City Of St. Thomas,178,127292.85500000001,131365.62578651684,23383081.39
City Of Stratford,150,128950.205,136804.73433333333,20520710.15
City Of Temiskaming Shores,5,101180.24,112801.15800000001,564005.79
City Of Thorold,38,119033.935,126087.24710526314,4791315.39
City Of Thunder Bay,699,120642.27,127581.0782546495,89179173.7
City Of Timmins,170,124113.85,129969.6524117647,22094840.91
City Of Toronto,10256,125118.335,131658.6090074103,1350290693.98
City Of Toronto - 519 Church Street Community Centre,8,107509.95999999999,117804.66375,942437.31
City Of Toronto - Applegrove Community Complex,3,106813.0,110708.33333333333,332125.0
